CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 601948e7077f0d767811f4d7a7b08fcbcde09a38
uncommitted changes = True
seed = 42
engine_config_name = leela_local_1600_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 50001
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot180']
result_subdir = 

fen,original,rot180
5N2/8/8/6nk/8/3Rn2r/7K/2N5 w - - 4 36,-0.76,-0.685
5bb1/K4k2/2B5/8/5BR1/8/1r6/8 w - - 16 53,0.765,0.747
8/2B4k/8/1N3b2/8/8/3K4/3Q1nq1 w - - 14 59,-0.703,-0.699
8/r7/B7/7R/8/4K3/R6b/1r4k1 w - - 8 46,0.543,0.574
k7/6r1/N3n2Q/8/4q3/1R6/8/4K3 w - - 19 70,-0.584,-0.5219999999999999
4k3/R7/8/B3r3/3K4/6b1/B5b1/8 w - - 11 42,0.795,0.79
8/1Q6/8/8/n1b2B2/1N1k4/K7/3q4 w - - 12 50,0.29400000000000004,0.16
8/5k2/8/qn2Q3/7B/6K1/8/1N5b w - - 13 55,0.177,0.257
8/B5K1/7n/8/6br/2R5/7k/4N3 w - - 9 39,0.296,0.256
1b6/2q5/7R/4K3/5B2/rk6/8/5Q2 w - - 3 39,-0.40399999999999997,-0.495
8/7k/r7/8/2b1K3/3R1B2/1Bb5/8 w - - 3 45,-0.548,-0.335
4q3/5k2/3Q4/3R4/1N3K2/7n/4r3/8 w - - 16 70,-0.922,-0.899
4b3/2B5/5K2/2B5/1r6/k7/3R4/b7 w - - 8 40,0.278,0.538
1b1B4/2N5/6K1/6R1/8/rk6/8/2n5 w - - 1 52,0.39999999999999997,0.37
6b1/8/8/6B1/2RK1B2/8/5r2/k6b w - - 8 61,0.325,0.197
k7/8/5Q2/6R1/8/6r1/K5q1/B1b5 w - - 3 30,-0.13,-0.16
8/1N6/8/8/1R5n/8/5r1r/R2K1k2 w - - 11 40,-0.27599999999999997,-0.274
3n4/4k3/8/3R4/2K5/N7/7r/N3n3 w - - 12 54,0.18,0.245
8/8/rn6/k4KB1/7R/8/1b4N1/8 w - - 0 50,0.28099999999999997,0.253
7k/1R1K1b1r/1B6/8/2n5/8/8/6N1 w - - 7 50,0.22999999999999998,0.19599999999999998
7r/2K4k/4BQ2/8/8/6R1/2q5/2b5 w - - 16 53,0.019000000000000003,0.025999999999999995
1k6/3b4/1B6/3Q4/q7/3R4/1K5r/8 w - - 14 53,-0.873,-0.876
RN6/5K1q/Q7/8/8/n6r/8/k7 w - - 8 33,-0.825,-0.912
5N2/nr6/3RQ3/q5K1/8/8/7k/8 w - - 10 33,0.779,0.807
8/7K/5k2/3b2qn/2N5/3Q4/8/1B6 w - - 0 32,0.049999999999999996,0.063
5Q2/7R/4r3/2K5/2b5/8/1k6/2q2B2 w - - 16 62,0.13899999999999998,0.07200000000000001
4k3/1nrq4/8/3K2Q1/1N6/8/8/6R1 w - - 9 61,-0.723,-0.644
2n2kN1/8/K1r5/8/8/1Q4R1/2q5/8 w - - 8 70,-1.0,-1.0
8/3R4/1k6/3K2n1/5r2/5r2/1N6/4R3 w - - 11 41,0.5539999999999999,0.647
1B6/8/7K/1Q4b1/2B5/8/6q1/k6b w - - 12 56,0.249,0.263
8/1r6/8/N3R3/7k/2n1Bb2/7K/8 w - - 5 37,0.422,0.342
3Bk3/3R4/1Nn5/8/8/7b/7r/1K6 w - - 16 70,-0.439,-0.461
K1QR2q1/8/4b3/8/4B3/8/3rk3/8 w - - 1 36,0.24800000000000003,0.24500000000000002
b7/B1n5/K7/7R/k3r3/8/7N/8 w - - 15 58,-0.319,-0.447
2Q4K/8/8/4k2b/1r6/1q6/8/R1B5 w - - 21 70,0.758,0.845
4K3/4b2B/1q2k3/7Q/8/8/8/5n1N w - - 9 35,0.507,0.505
8/5b2/1r2k3/6r1/4KR2/5R2/8/7B w - - 6 34,0.472,0.523
2k4K/8/6R1/8/5q2/2r5/3R3Q/5r2 w - - 0 53,0.822,0.796
4q3/R7/1K3nr1/8/3k4/1Q5N/8/8 w - - 5 65,0.865,0.877
8/3R4/1k6/q5K1/6QB/8/8/1r4b1 w - - 2 52,0.778,0.806
1b6/8/1r6/1bR2B1k/8/8/1B3K2/8 w - - 5 64,0.728,0.727
3n4/8/R7/3K4/3B3r/8/7b/4N2k w - - 6 41,0.161,0.107
2Q3R1/8/r1BK4/8/b1q5/8/8/k7 w - - 11 51,-0.048999999999999995,-0.093
5B2/8/1K6/4Q3/4B3/3b4/2b1q3/2k5 w - - 4 47,0.151,0.121
4r3/8/5K2/3B4/1k1b3r/5R2/2R5/8 w - - 0 53,0.089,0.08399999999999999
6n1/6N1/7K/8/8/2R1R3/1r4rk/8 w - - 7 51,-0.179,-0.147
8/1R4K1/8/5bk1/8/4r3/8/1NB2n2 w - - 3 61,0.06,0.105
8/1q3r2/5R2/6K1/2k5/1b6/7Q/4B3 w - - 18 68,0.728,0.515
4k3/2r5/3q1rR1/6Q1/8/6R1/K7/8 w - - 1 32,0.856,0.807
n7/2K5/k5b1/4N2q/8/8/8/4Q1B1 w - - 2 64,0.733,0.779
8/5N2/2r5/8/7q/6nk/Q7/3R1K2 w - - 7 62,-0.69,-0.6639999999999999
4r1K1/8/8/1kr5/6R1/2q5/R7/Q7 w - - 12 59,-1.0,-0.974
8/5R2/3kr3/8/8/2q5/Q6N/3Kn3 w - - 14 67,0.726,0.719
6q1/1k2KR2/6b1/5Q1r/8/8/2B5/8 w - - 5 41,0.917,0.924
2r5/3R4/6K1/Q7/2q5/B2b4/k7/8 w - - 5 69,-0.827,-0.851
5K2/2R5/8/6RQ/8/7r/7k/6rq w - - 6 39,1.0,1.0
n3QR2/8/r6K/8/N7/6q1/2k5/8 w - - 5 62,-0.82,-0.841
4R3/3r4/8/6KQ/7B/6b1/6k1/7q w - - 1 32,1.0,1.0
3R1Q2/3b3q/8/2B5/8/3K4/8/2k1r3 w - - 10 45,-0.959,-0.966
2Qrr3/2R1R3/8/8/5k2/6q1/8/1K6 w - - 9 59,0.953,0.856
8/5kb1/2K5/5N2/8/5n2/8/1Q3Bq1 w - - 6 34,0.785,0.786
8/3b4/7k/8/2K3R1/7r/R3B3/1r6 w - - 14 50,0.542,0.569
1r3n2/R7/1rN5/2R5/8/8/4k3/K7 w - - 4 38,0.588,0.615
1N6/8/2N5/3n2q1/4k3/6K1/1n6/5Q2 w - - 4 32,-0.6789999999999999,-0.653
N7/4k3/2r4R/1q6/2n2Q2/8/8/2K5 w - - 3 35,0.296,0.45599999999999996
n5q1/4Q3/8/b7/4B1N1/1k3K2/8/8 w - - 11 62,0.591,0.51
K7/2N2k2/4N2q/7n/3Q4/8/n7/8 w - - 1 65,0.596,0.498
5q1b/8/8/Q7/R7/2r5/6KB/2k5 w - - 16 70,0.981,0.988
2N5/2b5/8/4k3/8/3Q4/2K3n1/2B4q w - - 7 58,0.378,0.326
8/8/4R3/6b1/2r4r/k7/2R1B3/2K5 w - - 9 69,-0.357,-0.33799999999999997
8/B1b1b1B1/1r6/5K2/k7/8/8/7R w - - 9 30,0.529,0.477
7n/1K4R1/3BN3/8/7k/3b4/3r4/8 w - - 5 30,0.8119999999999999,0.821
8/r7/r6q/8/QR4R1/8/8/K4k2 w - - 13 50,-0.11599999999999999,-0.0040000000000000036
8/B7/6b1/6k1/5n2/6q1/2N5/3QK3 w - - 20 68,-0.758,-0.726
6k1/Q7/6b1/8/5b2/6q1/8/4KB1B w - - 5 40,-1.0,-1.0
8/4B1Q1/8/7q/2k3Nn/5b2/1K6/8 w - - 10 61,0.814,0.798
R7/6n1/8/3KR3/3N4/8/3k2rr/8 w - - 17 57,0.816,0.883
5K2/8/3RbQ2/8/5B2/1k5r/4q3/8 w - - 11 70,0.785,0.888
5bBQ/3q4/3b4/8/8/8/7K/B2k4 w - - 5 35,-0.10400000000000001,-0.221
8/5r2/3R3K/b7/r2B4/8/7R/5k2 w - - 8 51,0.182,0.157
1b6/8/2Q5/7K/r6q/1B3R2/7k/8 w - - 15 53,-0.183,-0.12199999999999998
1K2r3/8/8/8/1Q2q3/5nk1/N7/2R5 w - - 12 56,-0.163,-0.096
8/1R6/N7/kB3K2/8/8/1n1b4/1r6 w - - 6 50,0.736,0.79
8/2K2k2/8/6R1/2r3N1/8/nB6/1b6 w - - 8 40,0.16799999999999998,0.139
2B5/8/7k/b6n/4N3/K7/3r4/2R5 w - - 3 49,0.246,0.129
3K3r/7n/Q7/2N5/8/8/1qk5/R7 w - - 3 31,-0.052000000000000005,-0.11300000000000002
N7/R7/B7/3r4/b5n1/5k2/8/5K2 w - - 7 50,0.151,0.149
8/Q5K1/3B3B/8/6k1/7q/2b1b3/8 w - - 9 47,0.604,0.741
5r2/k7/2q5/5r2/6R1/5R2/4Q3/4K3 w - - 6 37,0.767,0.769
6q1/4Q2R/4N3/5n2/4r3/8/K3k3/8 w - - 7 53,-0.6869999999999999,-0.6849999999999999
B3N3/8/1K6/8/1r6/b2k4/5n2/7R w - - 1 61,-0.642,-0.739
2N3R1/6K1/4r3/7Q/q1n5/8/8/4k3 w - - 0 44,0.226,0.14900000000000002
1K4n1/1N6/r7/8/8/7r/5k2/3RR3 w - - 14 60,0.286,0.236
b6r/R7/2k4K/8/8/8/2q2B2/5Q2 w - - 10 44,-0.777,-0.822
8/K3k3/Q6B/8/8/6b1/3N3n/7q w - - 9 31,0.71,0.741
6q1/7b/2k4K/8/8/1R6/3r4/1Q4B1 w - - 3 58,0.889,0.896
8/6k1/4q1N1/4n2r/8/1KQ5/8/6R1 w - - 6 35,-0.028999999999999998,-0.018000000000000002
8/1K5r/8/7r/5k1q/1Q2R3/8/6R1 w - - 5 30,0.006000000000000005,0.0049999999999999906
4B3/1r6/7Q/4b3/8/1k3q2/8/2K4R w - - 0 43,-0.009000000000000008,0.017
6k1/8/2r5/8/8/1R3NK1/1R6/5r1n w - - 8 64,0.078,0.08600000000000001
2B5/6k1/R6n/8/3K2r1/2N3b1/8/8 w - - 4 41,0.4,0.407
2B3b1/6Nn/8/8/7r/2k1K1R1/8/8 w - - 12 50,0.415,0.383
Q4N2/8/1N6/2n5/4n3/2K4k/5q2/8 w - - 0 57,-0.359,-0.236
7R/3K4/8/5rb1/k3B3/8/7R/5r2 w - - 4 65,0.351,0.299
2RQ4/2N5/1r3n2/k7/8/1q6/2K5/8 w - - 1 35,-0.885,-0.861
2Nn4/6QB/2b5/8/8/8/k2K4/7q w - - 5 35,0.521,0.447
3k1b2/8/K7/8/b7/3B4/2r5/6BR w - - 5 44,0.96,0.932
8/B1k1qK2/3b4/3n4/4N3/8/8/4Q3 w - - 4 31,-1.0,-0.924
8/B3b3/5R2/K7/8/4r1r1/5R2/k7 w - - 10 33,0.926,0.948
8/1qn5/3K2N1/6k1/1bQ5/8/8/1B6 w - - 7 40,-0.228,-0.13899999999999998
1r6/8/8/8/6b1/8/3R1R2/r1k1B1K1 w - - 2 34,0.31,0.25
4b3/8/3K3R/8/1k1q4/7B/7Q/6r1 w - - 15 56,-0.17900000000000002,-0.162
4k3/n7/8/7N/1Q6/5B2/b1q5/7K w - - 10 42,0.305,0.39
2K4k/2N5/8/8/5q2/8/Q6n/6bB w - - 3 48,0.274,0.272
6q1/1K6/1QNR4/3n4/7k/6r1/8/8 w - - 6 69,0.199,0.16699999999999998
5R2/4BQ2/k4K2/7r/4b3/7q/8/8 w - - 8 35,0.7,0.759
4N1RN/5K2/7n/4k3/n7/8/7r/8 w - - 7 60,-0.733,-0.72
8/5N2/4K3/3B3Q/1k6/8/6b1/6qn w - - 11 36,0.478,0.408
3R4/6B1/4rn2/1K6/4b3/8/1N3k2/8 w - - 12 41,0.509,0.557
7k/8/3n4/8/1N1r4/BK1b4/8/6R1 w - - 3 47,0.934,0.878
1RQBr2k/8/2q5/8/1K6/8/8/7b w - - 14 63,0.892,0.872
7Q/8/2n5/1k3K2/3q2N1/7R/8/5r2 w - - 14 49,-0.538,-0.472
3B4/RQ6/4r3/4b3/2q2k2/8/K7/8 w - - 4 33,-0.45099999999999996,-0.566
2N5/Q5R1/8/2K5/8/n2r4/7q/3k4 w - - 12 55,-0.40199999999999997,-0.622
Q6R/8/8/8/B2q3b/8/r7/1k4K1 w - - 15 63,-0.40499999999999997,-0.377
5Q2/8/k1r5/n6N/8/1q6/8/4K2R w - - 12 41,-0.49,-0.40299999999999997
4R3/1N6/4R3/7r/8/5K2/3r2n1/5k2 w - - 1 65,-0.06899999999999999,-0.05499999999999999
5K2/7r/8/2n4q/5k2/8/Q2R4/1N6 w - - 16 62,0.07600000000000001,0.176
K4R2/5B2/4Q3/8/5b2/5r2/2q3k1/8 w - - 12 44,0.024999999999999994,0.040999999999999995
5B2/8/4b3/2r5/1k3K2/8/7b/R6B w - - 9 31,0.84,0.848
1R6/2N3k1/8/5q2/8/2K2n2/1Q6/1r6 w - - 6 62,0.742,0.699
4K3/5nQ1/4k3/4N3/4q2r/8/3R4/8 w - - 13 53,0.27,0.199
8/6QR/1k3N1K/8/3q4/r3n3/8/8 w - - 14 67,0.316,0.302
8/1Q6/4q3/7R/2r2K2/8/8/kB2b3 w - - 4 48,-0.39,-0.465
8/2Q3R1/8/7B/6K1/8/b2k2qr/8 w - - 9 53,-0.29700000000000004,-0.232
8/3R4/7K/8/1n2k3/4r2r/5R2/1N6 w - - 3 63,-0.5609999999999999,-0.655
1r1Nk3/5r2/1nR5/8/8/8/6K1/3R4 w - - 9 44,0.331,0.374
4q3/8/8/n6n/1k1K1N1Q/8/3N4/8 w - - 7 66,0.458,0.533
5BR1/8/8/3B4/2r1K2b/8/4b3/k7 w - - 8 38,0.453,0.372
8/1Q5R/4b3/3r4/8/K2k4/B2q4/8 w - - 0 45,0.6789999999999999,0.653
8/5rr1/8/KB6/2bk4/6RR/8/8 w - - 8 61,0.551,0.553
1r5k/4n3/8/N7/5q2/8/1RQ5/5K2 w - - 2 55,-0.906,-0.926
5bk1/R4R2/8/8/8/8/5K1B/1r3r2 w - - 4 48,-0.943,-0.956
8/8/7R/5q2/7Q/5r2/k2n1K2/3N4 w - - 5 37,-0.816,-0.793
8/1Q5K/4R3/r6q/8/7n/5kN1/8 w - - 18 70,-0.653,-0.595
8/8/7n/1N2K2B/R7/3r4/2kb4/8 w - - 7 53,0.817,0.892
8/2r5/8/K3R3/6k1/6B1/qb3Q2/8 w - - 10 48,-1.0,-1.0
4qB1b/8/8/2Q5/7N/4K2n/8/6k1 w - - 6 61,0.968,0.97
4K3/q7/8/1B6/5B2/k7/b5Q1/1b6 w - - 6 34,0.888,0.891
Nk4B1/8/Q4K2/8/3q4/3nb3/8/8 w - - 3 58,-0.833,-0.785
8/b7/3B4/4K3/2N5/7Q/n4q2/1k6 w - - 5 33,0.6859999999999999,0.653
K3R3/1r3kn1/8/8/Q1N5/8/8/7q w - - 20 65,0.77,0.706
7K/5q2/4R2Q/5rb1/3B4/8/k7/8 w - - 6 38,0.509,0.569
7q/2QN2b1/4Kn2/7k/8/3B4/8/8 w - - 4 38,0.329,0.33799999999999997
8/8/2Rn1r2/8/8/1Q6/1N3k2/2K2q2 w - - 1 34,0.584,0.606
8/1RB5/7K/8/4rQ2/q2k4/8/7b w - - 0 59,0.21100000000000002,0.22099999999999997
2n5/5q2/4k3/7r/1R5N/Q5K1/8/8 w - - 8 65,0.295,0.22
6n1/8/4K1N1/4B3/R7/5r2/3b2k1/8 w - - 6 34,0.378,0.333
3r4/2k5/7N/5Q2/8/R1n3K1/8/4q3 w - - 2 50,-0.479,-0.532
8/8/2B3B1/8/1N1b4/6k1/4b3/n6K w - - 10 62,-0.005000000000000001,-0.08
7k/2R3R1/4B3/2K5/8/r7/8/1br5 w - - 0 40,0.029,0.113
4k3/5b2/3B3R/8/8/2r5/1Kr5/7R w - - 9 42,-0.009999999999999995,-0.060000000000000005
3b4/8/k3q3/2B5/6QR/K7/8/4r3 w - - 3 55,0.055999999999999994,0.052
6K1/3r4/7N/3b2n1/8/8/3k4/B4R2 w - - 5 52,-0.425,-0.36
2k4r/4K3/1n6/5R2/1N6/8/6N1/2n5 w - - 2 69,0.34099999999999997,0.46399999999999997
5k2/1N6/1K6/N7/8/8/q1n4n/2Q5 w - - 10 46,0.402,0.386
4N3/8/k1n5/8/1R4R1/8/2r2K2/3r4 w - - 0 67,-0.286,-0.26
6B1/8/n3K3/b7/1k6/8/1N3b2/2B5 w - - 6 48,0.353,0.408
8/8/6K1/k7/4b3/8/6QB/1q3b1B w - - 1 54,-0.316,-0.26199999999999996
n3R3/8/r7/6B1/4N3/1K6/6b1/5k2 w - - 5 68,0.27299999999999996,0.224
4R2K/8/7r/B6k/8/b2r4/R7/8 w - - 10 56,-0.125,-0.08299999999999999
q3k3/8/7r/8/nN3K2/Q7/8/1R6 w - - 0 34,0.10400000000000001,0.083
6R1/8/5K2/7b/1k6/3r4/7r/2B1R3 w - - 3 45,0.217,0.20299999999999999
1r6/1n6/7k/1R1R4/1N6/8/1K6/7r w - - 0 61,0.123,0.19799999999999998
6Bb/5R2/K5k1/8/8/3n4/1r6/7N w - - 4 33,-0.22999999999999998,-0.294
Q4B2/B7/6K1/2b3q1/5b2/8/8/2k5 w - - 7 35,-0.187,-0.105
2n1r1b1/8/8/7k/3N1B2/1R6/8/2K5 w - - 7 54,0.068,0.092
5R2/8/8/8/B4BK1/2k1r3/8/b1b5 w - - 10 64,0.611,0.725
5KN1/n1N5/8/4k3/1Q6/8/6q1/6n1 w - - 17 62,0.617,0.7
1B1k4/8/5nr1/4N2b/8/2K5/7R/8 w - - 18 60,0.611,0.458
1K6/5k2/3R4/8/8/5r2/q6n/6NQ w - - 14 51,0.647,0.707
2R5/q7/6n1/3r4/3k4/8/6N1/K1Q5 w - - 4 70,-0.7969999999999999,-0.743
5B1Q/3q3K/2k5/2b5/8/1b6/4B3/8 w - - 10 68,-0.817,-0.837
2K5/r2n4/k4N2/4B2R/8/8/b7/8 w - - 1 54,0.867,0.887
k2N4/6K1/1R6/8/4r2r/8/3R3n/8 w - - 19 61,0.889,1.0
2K3n1/8/6qk/8/8/1Q4N1/3R4/6r1 w - - 1 54,0.889,0.865
1Q6/5R2/r7/7K/4B3/8/4b3/2kq4 w - - 16 70,-0.7989999999999999,-0.8119999999999999
8/N1K5/4k3/8/3nn3/3q4/8/2Q4N w - - 18 64,-0.26699999999999996,-0.353
2K5/8/8/1r6/2n2q2/1k6/3R4/1N4Q1 w - - 3 30,-0.16999999999999998,-0.10600000000000001
8/4r2b/5k2/8/4B1R1/q7/8/3QK3 w - - 9 68,0.092,0.123
1B6/1R6/1K1br3/6R1/8/3kr3/8/8 w - - 4 50,0.266,0.183
3B1k2/1b6/8/7N/8/r3K1R1/8/7n w - - 2 56,-0.27999999999999997,-0.302
8/1B1bN3/8/6K1/r7/5R2/6n1/2k5 w - - 0 46,0.296,0.219
k7/8/8/1Q3R1K/3nq3/1r6/8/3N4 w - - 15 54,1.0,1.0
7k/8/8/2QN4/8/1q1rK3/1n6/1R6 w - - 1 37,0.163,0.23900000000000002
7n/8/1K6/8/B7/k3r3/1N4R1/4b3 w - - 14 45,0.669,0.693
2R5/1Q1b2r1/8/1K6/7q/8/4k1B1/8 w - - 8 63,-0.656,-0.689
1b6/8/k4B2/1q6/2b1Q3/2K5/8/1B6 w - - 3 45,0.04599999999999999,0.018
5R2/1b6/2b5/6B1/8/1k6/6r1/2B3K1 w - - 6 34,-0.13699999999999998,-0.16999999999999998
B2K4/6r1/R7/B7/b7/8/8/3kb3 w - - 11 40,0.612,0.669
8/nB3n2/8/8/1K6/5N2/1b6/4N2k w - - 12 46,0.736,0.742
5r2/3Q3R/3n2q1/N7/8/6k1/2K5/8 w - - 6 34,-0.831,-0.805
3r4/1b5K/8/1B5k/6q1/8/2Q5/4R3 w - - 8 33,0.997,0.987
8/3n4/q7/2K4k/8/8/1B2b2N/4Q3 w - - 3 55,-0.604,-0.619
b7/8/5r2/1B6/4kq2/7R/4K3/6Q1 w - - 0 38,0.5559999999999999,0.67
1n6/1B6/8/Q4q2/1K6/1N1b4/8/3k4 w - - 10 50,0.622,0.696
5K2/5N2/5r2/8/8/2k4b/Rn6/7B w - - 13 44,0.306,0.265
6K1/7Q/1n6/2q2NB1/3b4/8/8/5k2 w - - 11 46,0.213,0.16999999999999998
2QN4/8/8/1n5B/2b5/3k4/8/q4K2 w - - 6 40,-0.241,-0.211
1r6/n7/4R3/2r5/2N3R1/1k5K/8/8 w - - 11 54,0.77,0.807
6k1/8/4r3/8/1K6/8/2b4b/R3BB2 w - - 7 52,0.34,0.27
8/8/8/1R6/1R1N4/3k4/n6r/K1r5 w - - 0 65,-1.0,-1.0
N2k4/8/7K/8/8/Q7/2q5/3n1bB1 w - - 9 34,0.738,0.699
K5R1/B7/3kn3/r7/8/8/b6N/8 w - - 1 53,-0.533,-0.624
8/3nN1B1/6Q1/8/1k6/5K2/q7/2b5 w - - 11 54,0.312,0.364
6b1/2k2nN1/7r/2B3K1/2R5/8/8/8 w - - 1 60,-0.368,-0.345
1Q6/1R6/4K3/6b1/8/8/1B3r2/5k1q w - - 2 49,-0.77,-0.796
6Q1/1BR5/8/8/k7/4r2b/1q6/3K4 w - - 0 42,1.0,1.0
1r4N1/3q3n/6Q1/5R2/4K3/8/8/4k3 w - - 19 64,1.0,1.0
1BK5/1B4k1/8/8/8/5R2/b5b1/5r2 w - - 11 48,0.284,0.328
8/8/7r/8/2K5/4r3/b2B1k2/1R4R1 w - - 3 53,-0.705,-0.71
5Q2/b1K5/4k3/7B/8/5B2/3q2b1/8 w - - 8 31,0.894,0.91
7R/r5B1/8/1b1K4/8/2B5/8/1kb5 w - - 10 36,0.143,0.076
8/1BK2k2/4b3/7n/Q4N1q/8/8/8 w - - 7 69,-0.028999999999999998,-0.024
K7/8/2q2b2/3R3B/k6r/5Q2/8/8 w - - 15 52,-0.7909999999999999,-0.7889999999999999
2R5/1B1k3K/2n5/6b1/8/4r3/8/3N4 w - - 16 52,0.868,0.86
1K6/Q5b1/8/8/4R3/8/1q5r/2k2B2 w - - 6 67,-0.779,-0.816
8/1b2r3/8/2n5/1R3K2/8/1B6/1k1N4 w - - 11 45,0.581,0.664
2Q5/5k1B/8/8/q1N5/2n5/7b/2K5 w - - 11 55,0.45,0.566
5b2/8/4k3/8/8/1RR5/3r2K1/3r3B w - - 3 44,-0.532,-0.617
4Q1R1/1q6/1k6/8/8/4K3/1b5B/r7 w - - 3 64,0.655,0.695
8/b7/B1q2n2/8/8/4KN2/Q7/2k5 w - - 15 65,-0.408,-0.514
kn4N1/8/7R/4r3/8/8/4n3/2NK4 w - - 1 34,0.33,0.401
K7/6N1/3q4/2n3b1/8/7Q/4B3/1k6 w - - 11 40,-0.40499999999999997,-0.383
8/3K4/2N4R/6r1/r7/1R5n/7k/8 w - - 12 60,0.416,0.305
2B1K1R1/8/3Q4/8/q6b/1r6/8/4k3 w - - 10 52,-0.57,-0.619
8/8/2n2k2/BKQ3N1/8/8/4q1b1/8 w - - 1 50,-0.261,-0.296
8/2k3b1/8/1B5Q/7N/K7/8/q4n2 w - - 1 69,-1.0,-0.829
8/k5Nn/7q/8/1KB1b3/8/1Q6/8 w - - 14 45,0.19999999999999998,0.307
3rrn2/k4N2/8/8/3K3R/4R3/8/8 w - - 15 50,0.204,0.269
8/3b4/n7/8/5k1q/1QK5/1B6/6N1 w - - 14 55,0.304,0.361
2k5/8/1b3K2/r7/1B6/1R6/5n1N/8 w - - 10 44,0.208,0.285
8/5q1b/k2B3n/3K4/4Q3/8/6N1/8 w - - 8 39,-0.163,-0.158
n7/5B2/3K4/8/7N/2k5/8/1b1b2B1 w - - 6 68,0.164,0.152
7r/2R5/2B5/8/1q1k4/5Q2/8/1b2K3 w - - 4 35,-0.033,-0.036
3k4/6R1/B7/6N1/K7/8/7b/4r2n w - - 8 60,0.153,0.197
4N3/8/8/1Q4N1/2nq4/4k3/8/3nK3 w - - 1 43,-0.089,-0.11800000000000001
4k3/8/K2n3R/R7/3r4/2r5/8/N7 w - - 13 42,-0.195,-0.131
8/8/q1k5/8/1K6/2N3nb/2BQ4/8 w - - 3 44,0.741,0.626
K7/N7/1r4bB/k7/1n6/8/5R2/8 w - - 2 52,-0.802,-0.829
8/r7/4k3/4qNn1/8/3Q4/5R2/1K6 w - - 3 41,0.877,0.844
8/b7/8/2KB4/2bB4/1k6/2n5/3N4 w - - 5 39,-0.818,-0.839
8/8/7k/3N4/b7/8/2q1Q3/1n3BK1 w - - 5 48,0.773,0.703
3q4/k7/3K4/3b1B2/3r4/2R5/2Q5/8 w - - 0 49,-1.0,-1.0
3B4/8/8/1qK5/8/5BQ1/kb2b3/8 w - - 8 36,-0.776,-0.8059999999999999
2r4q/3k3K/7R/7B/8/Q7/8/5b2 w - - 0 51,-0.858,-0.866
8/6k1/5n1N/6K1/8/1n4NQ/1q6/8 w - - 0 40,0.6839999999999999,0.64
4r2n/B7/5Nb1/k7/8/6R1/6K1/8 w - - 3 40,0.669,0.594
8/1RBk4/8/1R6/3r4/3r2b1/5K2/8 w - - 13 53,0.735,0.713
2k3r1/8/8/B1n1K3/8/R5b1/8/5N2 w - - 8 34,0.536,0.565
2K2q2/8/3r4/1B1R4/8/b2Q4/1k6/8 w - - 10 41,-0.887,-0.909
8/8/5b1n/2R5/8/7k/4NKr1/6B1 w - - 15 51,0.829,0.836
8/1N4Q1/8/4K3/2q5/6bn/7k/1B6 w - - 9 55,-0.889,-0.873
8/8/2K3B1/4q3/2kn4/Qb6/N7/8 w - - 15 64,-0.306,-0.317
8/1B5k/7q/4Q3/7b/2R2K2/8/2r5 w - - 1 60,0.849,0.818
4K3/k5n1/5rr1/8/NR2R3/8/8/8 w - - 12 58,-0.45,-0.438
6N1/8/1b4K1/8/3q3n/4B2k/8/2Q5 w - - 9 43,-0.438,-0.26399999999999996
1b6/k6B/8/2b5/4B1q1/3Q4/2K5/8 w - - 9 36,0.317,0.282
4n3/8/8/7k/5Rr1/8/K4QN1/2q5 w - - 2 30,0.17200000000000001,0.219
7K/8/3k4/R7/1r4n1/N7/4R3/1r6 w - - 0 38,0.207,0.23
q4k2/8/6Q1/5K2/3b4/8/2B5/5Bb1 w - - 13 62,0.12000000000000001,0.15400000000000003
8/2q5/1b4n1/1K5N/1B6/2Q5/k7/8 w - - 7 31,0.27099999999999996,0.182
8/8/8/N3b2B/5r2/K7/6R1/kn6 w - - 15 67,0.263,0.16399999999999998
q7/r7/8/1QR5/N6n/7k/8/4K3 w - - 5 36,0.28900000000000003,0.331
7r/K6k/8/n2q4/8/2R5/1N6/2Q5 w - - 0 45,0.575,0.5529999999999999
8/2K2B2/4N3/8/3r4/2b2k2/7R/4n3 w - - 16 52,0.523,0.422
4K3/5B2/8/2Q5/5nb1/N2q4/1k6/8 w - - 11 67,0.523,0.479
8/K3R3/2k5/B7/7r/4R3/6r1/2b5 w - - 3 61,0.513,0.441
8/4q3/5Q2/2b1B2K/4k3/8/8/1N4n1 w - - 5 58,0.97,0.977
2KQ3B/8/8/8/8/3R4/r1q4k/1b6 w - - 2 35,-0.94,-0.91
8/3n4/5N2/8/qN5k/2Q4n/3K4/8 w - - 1 60,0.738,0.691
3B4/6br/6k1/8/2KR4/B7/b7/8 w - - 7 32,-0.91,-0.912
3Q2R1/2K5/8/6N1/r2n4/8/q5k1/8 w - - 5 59,0.578,0.564
8/6r1/4k2N/8/3K3Q/q1n5/2R5/8 w - - 3 68,0.541,0.434
8/8/1k2NQ2/n7/8/q7/3b4/BK6 w - - 5 55,0.327,0.344
8/3q3n/2r3k1/8/8/5R2/Q1K5/7N w - - 13 56,-0.24700000000000003,-0.31699999999999995
1qn1N3/8/8/8/8/8/2K4k/3B1Qb1 w - - 0 40,0.326,0.3
