,fen,original,rot180,difference
16574,n1b5/7K/8/B7/2r4k/8/8/R5N1 w - - 10 33,0.214,0.243,0.028999999999999998
7098,4N3/8/8/1Q4N1/2nq4/4k3/8/3nK3 w - - 1 43,-0.089,-0.118,0.028999999999999998
13883,8/1B2n3/4k3/2K5/8/5RN1/7r/7b w - - 11 39,0.13,0.159,0.028999999999999998
6011,8/K5NB/7n/8/k2r4/4b3/7R/8 w - - 11 38,-0.062,-0.033,0.028999999999999998
47413,R7/8/4BK2/4B2r/8/1b6/2k4b/8 w - - 14 62,0.044,0.015,0.028999999999999998
26938,n2R4/1K6/3N4/8/r7/2k4n/7N/8 w - - 6 30,0.154,0.125,0.028999999999999998
20729,2b5/1n2K3/5Q2/3B4/8/1N5k/7q/8 w - - 1 46,0.205,0.176,0.028999999999999998
37883,6k1/2R1R3/b7/8/2rr2K1/B7/8/8 w - - 14 64,0.01,0.039,0.028999999999999998
37785,1N4k1/1R6/1KR5/8/3n1r2/8/8/6r1 w - - 10 37,-0.019,0.01,0.028999999999999998
25403,3b2k1/8/3b4/8/1B1q2K1/8/3B4/2Q5 w - - 0 37,-0.025,-0.054,0.028999999999999998
19200,5R1B/2n2K2/3r4/6k1/3N4/6b1/8/8 w - - 1 66,0.1699999999999999,0.1989999999999999,0.028999999999999998
29247,3B1K2/8/4N2k/3B4/1b6/2b5/8/5n2 w - - 1 36,0.046,0.075,0.028999999999999998
17655,3q4/8/3K4/8/6Q1/1N3n1B/7k/7b w - - 8 38,-0.095,-0.124,0.028999999999999998
5358,5N1n/2R5/8/5Q2/4K3/q7/4k3/4r3 w - - 9 69,-0.128,-0.157,0.028999999999999998
45598,qk6/8/8/8/n7/5r2/5N1R/6QK w - - 12 68,0.031,0.002,0.028999999999999998
25377,8/2r5/1N5R/7R/8/8/8/nr3k1K w - - 10 42,0.092,0.063,0.028999999999999998
30448,8/N6K/8/n7/1b6/6r1/k5B1/6R1 w - - 8 46,0.112,0.083,0.028999999999999998
39082,2R5/k7/4R3/6KN/8/n6r/8/r7 w - - 2 47,0.023,0.052,0.028999999999999998
16073,2B5/8/1r1r1k2/6b1/K7/6R1/8/7R w - - 15 65,0.091,0.12,0.028999999999999998
41347,3K4/8/r7/2k2b2/6R1/6R1/6Br/8 w - - 2 41,-0.079,-0.05,0.028999999999999998
45603,5b2/3b4/3k4/8/1N1B1K2/8/4B3/1n6 w - - 0 33,0.007,0.036,0.028999999999999998
26070,8/4K1R1/8/1br5/8/8/5nB1/N5k1 w - - 11 51,0.095,0.066,0.028999999999999998
26901,8/2B3b1/8/4K3/1k6/6n1/5r2/R3N3 w - - 11 69,-0.085,-0.114,0.028999999999999998
34197,8/4N3/2R5/6n1/8/K5r1/2B5/k5b1 w - - 13 65,0.074,0.045,0.028999999999999998
3580,r5r1/7R/8/8/1q4Q1/k4K2/2R5/8 w - - 3 37,0.083,0.112,0.028999999999999998
9963,6b1/4n2k/6r1/7N/3K4/8/8/1B3R2 w - - 6 37,0.196,0.225,0.028999999999999998
37898,8/1k6/8/2K3B1/4b1B1/8/2b4Q/4q3 w - - 11 67,0.02,-0.009,0.028999999999999998
27027,N4n2/1K6/8/1k6/1r1q4/8/6Q1/6R1 w - - 15 70,-0.118,-0.089,0.028999999999999998
29409,1R6/2NN3k/8/K7/6n1/7r/8/6n1 w - - 3 51,0.0409999999999999,0.0699999999999999,0.028999999999999998
49211,6Q1/6N1/3k1b2/7B/K4q2/7n/8/8 w - - 11 63,-0.1,-0.129,0.028999999999999998
20696,kr1r2R1/4K3/8/8/q7/8/6R1/5Q2 w - - 4 47,0.091,0.12,0.028999999999999998
31801,7K/6N1/6k1/1n6/5B1R/8/4r2b/8 w - - 3 70,0.184,0.213,0.028999999999999998
40252,6R1/2n5/4k1N1/4r3/8/1K4b1/8/1B6 w - - 7 45,0.08,0.109,0.028999999999999998
19015,7n/8/R1N1K3/5B2/5k2/6b1/5r2/8 w - - 14 51,0.164,0.135,0.028999999999999998
33422,8/1B6/6K1/4R3/b7/8/2r1Q3/2kq4 w - - 1 40,0.038,0.009,0.028999999999999998
39045,8/1b3B2/8/Bb6/8/n1N2k2/3K4/8 w - - 12 46,0.0569999999999999,0.0279999999999999,0.028999999999999998
3547,1N6/5R2/3QK3/8/4r2k/8/6n1/7q w - - 5 52,0.199,0.17,0.028999999999999998
34476,3N4/8/3R4/n3r1K1/6B1/8/1b6/7k w - - 9 37,0.073,0.044,0.028999999999999998
42259,8/5kb1/7r/1K6/3R3r/8/2R5/B7 w - - 10 58,0.077,0.106,0.028999999999999998
40849,1k1K4/2nb4/2q1B3/8/2N5/4Q3/8/8 w - - 3 44,0.084,0.113,0.028999999999999998
16109,K1R5/8/2NR4/8/1r2r3/8/7k/5n2 w - - 15 64,0.197,0.168,0.028999999999999998
17555,Bb6/4R3/7K/R7/8/8/6rk/3r4 w - - 1 53,0.074,0.103,0.028999999999999998
18213,5K2/2q4b/8/5r2/1R4Q1/8/B7/5k2 w - - 13 50,-0.088,-0.059,0.028999999999999998
47848,8/6K1/2N1k3/6n1/8/6n1/2N1r3/2R5 w - - 7 44,0.086,0.057,0.02899999999999999
20108,2k3KB/1b6/2q5/8/8/r7/7Q/6R1 w - - 0 58,-0.087,-0.058,0.02899999999999999
46216,7B/1B3R2/8/8/8/1r4b1/2k1b3/K7 w - - 16 52,-0.042,-0.071,0.02899999999999999
23648,q1n5/8/K3NQ2/8/8/5b2/5k2/1B6 w - - 10 45,-0.112,-0.141,0.028999999999999984
15218,2b2n2/8/1K6/1Q6/4k3/q1B5/4N3/8 w - - 6 36,0.142,0.113,0.028999999999999984
42069,n7/8/3k3K/6N1/4R3/1r6/6r1/2R5 w - - 13 44,0.113,0.142,0.028999999999999984
5074,3r4/8/7B/7R/4K3/6kb/5n2/6N1 w - - 11 65,-0.325,-0.354,0.02899999999999997
20973,8/1k6/6B1/b4b2/2K5/8/2B3R1/5r2 w - - 4 52,0.477,0.448,0.02899999999999997
9310,kr6/5n2/8/2N5/8/1b6/7K/BR6 w - - 2 60,0.409,0.38,0.02899999999999997
11404,8/2b5/n7/1q5k/4Q3/8/2N3B1/3K4 w - - 14 58,0.254,0.283,0.02899999999999997
8846,3R4/5b1N/2k5/8/2r2K2/8/4Bn2/8 w - - 18 70,0.271,0.3,0.02899999999999997
12434,4q3/8/2n5/8/6Q1/4B3/1k3K2/b5N1 w - - 4 50,0.385,0.414,0.02899999999999997
32435,6q1/B5k1/8/Q7/1N6/2K4n/8/3b4 w - - 6 60,0.391,0.42,0.02899999999999997
9318,8/8/7K/4rkn1/N7/3R3R/5r2/8 w - - 7 30,-0.486,-0.457,0.02899999999999997
27228,2r5/4b3/8/8/3K4/1B6/2n3R1/4k2N w - - 12 41,0.475,0.446,0.02899999999999997
15868,4Q2K/q3b3/5N2/8/8/1nB1k3/8/8 w - - 13 65,0.482,0.453,0.02899999999999997
30437,6qn/3Q3b/8/5Bk1/8/8/7N/2K5 w - - 1 52,0.282,0.253,0.02899999999999997
15381,r7/n7/5K2/4R3/2N5/3N3n/8/3k4 w - - 1 31,0.315,0.344,0.02899999999999997
19046,3B4/8/Qn6/2k5/5q1N/2b5/8/5K2 w - - 1 36,-0.283,-0.254,0.02899999999999997
12922,8/2n5/8/3n4/1r6/8/RKNN4/7k w - - 4 66,0.482,0.453,0.02899999999999997
6161,4KB2/b3BR2/6b1/8/8/3k4/7r/8 w - - 9 66,-0.271,-0.3,0.02899999999999997
13386,8/1k1K4/bn6/6B1/8/Q6N/4q3/8 w - - 15 63,-0.271,-0.3,0.02899999999999997
31762,4K3/8/4Q3/2N4k/5nrq/8/8/R7 w - - 12 59,0.317,0.346,0.02899999999999997
16437,8/2N4n/1b6/7k/3rK3/6B1/5R2/8 w - - 4 54,0.26,0.289,0.02899999999999997
18041,2b5/1r6/3K4/8/5R2/1k4N1/6B1/n7 w - - 12 61,0.35,0.321,0.02899999999999997
20644,7b/3N3k/qB3K2/8/8/6Q1/8/n7 w - - 14 57,0.325,0.354,0.02899999999999997
11618,q7/8/8/8/3k4/8/2n1BN2/4bKQ1 w - - 2 54,0.347,0.318,0.02899999999999997
17794,n7/N7/1BK1b3/3N4/8/4n3/3k4/8 w - - 6 48,0.397,0.426,0.02899999999999997
18785,2BQ4/3RK3/6q1/8/5k2/8/2r5/2b5 w - - 5 40,-0.299,-0.27,0.02899999999999997
23034,8/8/1R3N2/4r2b/8/n7/4B3/2k2K2 w - - 1 42,0.457,0.486,0.02899999999999997
12854,1bk5/6n1/2K5/R6N/8/2B5/8/6r1 w - - 4 49,0.349,0.32,0.02899999999999997
12092,7K/1n4B1/r3b3/8/7N/8/7R/1k6 w - - 21 66,0.381,0.41,0.02899999999999997
4391,7q/8/3B2R1/Q7/2k3K1/1r6/1b6/8 w - - 8 67,0.663,0.692,0.028999999999999915
10019,2K5/r7/7B/4b3/8/8/8/n1R1Nk2 w - - 7 65,0.699,0.67,0.028999999999999915
35748,1b6/8/2rkn1R1/5K2/8/8/4B3/5N2 w - - 0 46,0.696,0.667,0.028999999999999915
23122,8/K7/3nN3/8/6r1/1b4k1/8/2B1R3 w - - 6 33,0.2779999999999999,0.249,0.028999999999999915
18901,4r1KB/8/4QR2/7q/8/8/8/k2b4 w - - 1 38,0.925,0.954,0.028999999999999915
37102,5k2/3K4/1b1r1q2/3R4/4B3/7Q/8/8 w - - 4 30,0.781,0.8099999999999999,0.028999999999999915
8281,2q1b1B1/4k3/8/8/1b6/8/2K2QB1/8 w - - 2 55,-0.796,-0.825,0.028999999999999915
34354,8/3b2r1/8/1RQ5/4k3/1K6/1B6/6q1 w - - 21 68,0.952,0.923,0.028999999999999915
17381,Q7/1B3R2/5K2/8/b5r1/2q5/8/k7 w - - 2 61,-0.796,-0.825,0.028999999999999915
15267,3R4/B7/8/7Q/1k2q1r1/8/8/K6b w - - 3 60,0.912,0.941,0.028999999999999915
16978,4B3/8/R1Q1q1r1/8/2b3k1/8/2K5/8 w - - 5 32,0.921,0.95,0.028999999999999915
14719,5N2/4n3/1k5n/8/8/r7/3R4/2NK4 w - - 0 68,0.205,0.2339999999999999,0.028999999999999915
20046,r1b5/8/4b2k/K7/7B/B7/8/1R6 w - - 9 31,-0.934,-0.963,0.028999999999999915
41835,7N/n2q4/8/6R1/4r3/3k4/5Q2/K7 w - - 4 58,0.935,0.964,0.028999999999999915
15576,5K2/7N/8/8/2r2n2/8/2rR2R1/7k w - - 11 41,0.929,0.958,0.028999999999999915
21101,4b3/4k3/4r3/R6B/8/8/2q5/Q5K1 w - - 4 47,0.938,0.909,0.028999999999999915
21273,4k3/8/1R6/B4B2/8/b1K1b3/6r1/8 w - - 0 31,0.813,0.784,0.028999999999999915
35461,8/3K2n1/8/r1n5/N2RN3/8/2k5/8 w - - 6 48,0.911,0.94,0.028999999999999915
7111,2k3r1/8/8/B1n1K3/8/R5b1/8/5N2 w - - 8 34,0.536,0.565,0.028999999999999915
4324,r7/4k3/B3q2b/8/8/2K5/4Q3/1R6 w - - 11 59,0.814,0.785,0.028999999999999915
21449,8/3Kb3/2RB4/2Qr4/4q3/8/8/7k w - - 14 51,0.923,0.952,0.028999999999999915
43505,Q7/n4N1k/8/8/3q4/8/5N2/2n2K2 w - - 11 70,0.174,0.2029999999999999,0.028999999999999915
30932,5R2/5N2/8/7k/8/6n1/7r/2KNn3 w - - 10 59,0.824,0.795,0.028999999999999915
36655,7B/8/4r3/3N4/6k1/2R1b3/4K3/n7 w - - 8 30,0.957,0.928,0.028999999999999915
18929,3K4/q1r3k1/2b5/5Q2/8/8/2R5/2B5 w - - 8 47,0.941,0.912,0.028999999999999915
15439,4k1b1/1Q6/8/6q1/2K5/8/1R4B1/r7 w - - 4 69,-0.924,-0.953,0.028999999999999915
2275,4r3/1k6/8/8/5QR1/K1B5/4q3/5b2 w - - 11 46,0.372,0.4009999999999999,0.028999999999999915
2778,RK5k/8/8/1Q1N2q1/7r/8/2n5/8 w - - 2 59,0.82,0.791,0.028999999999999915
49549,2b5/8/2K5/3BQ3/5B2/4b2k/4q3/8 w - - 11 66,0.823,0.794,0.028999999999999915
7186,8/4N2k/1q1r4/2n5/8/3R4/K2Q4/8 w - - 0 45,0.831,0.802,0.028999999999999915
6768,q7/8/br6/8/1K4R1/Q7/2B4k/8 w - - 12 46,-0.938,-0.909,0.028999999999999915
12249,1R5B/2K5/1B6/8/8/8/1r3b2/k1b5 w - - 7 64,0.916,0.945,0.028999999999999915
24167,1Q6/4R3/1K6/4B1k1/2r5/3b4/8/4q3 w - - 14 58,0.948,0.919,0.028999999999999915
4405,6rb/R7/8/Q6B/8/3k4/6q1/1K6 w - - 0 46,0.828,0.799,0.028999999999999915
12240,r6n/6R1/1rk5/8/1K5R/8/1N6/8 w - - 7 59,0.8109999999999999,0.782,0.028999999999999915
20461,5B1n/1RN5/8/2K1k2b/8/7r/8/8 w - - 9 63,0.539,0.568,0.028999999999999915
24281,qn6/8/2k1N3/8/6Q1/1K6/5R2/r7 w - - 11 36,0.951,0.922,0.028999999999999915
4850,8/7B/8/6b1/8/1Q6/1b4q1/BK3k2 w - - 5 46,0.814,0.785,0.028999999999999915
3058,1R2br2/3q4/5k2/2K5/8/B7/8/4Q3 w - - 15 67,0.826,0.797,0.028999999999999915
48116,k1r5/8/1R6/8/8/4Q3/K1q1n3/7N w - - 14 45,-0.943,-0.914,0.028999999999999915
6597,2k5/8/3B1Q2/8/4b2n/7q/8/2K1N3 w - - 1 48,0.539,0.568,0.028999999999999915
27734,3Q4/1k5b/7r/3R4/4K3/6q1/8/1B6 w - - 13 55,-0.952,-0.923,0.028999999999999915
391,6q1/3Q4/4N3/2R2K2/8/4r3/5n2/4k3 w - - 8 38,0.769,0.7979999999999999,0.028999999999999915
3530,8/8/4kb1K/8/r1q5/6R1/1B5Q/8 w - - 9 30,0.661,0.69,0.028999999999999915
4518,8/6K1/6R1/5R2/r7/4N3/8/2r1k2n w - - 13 66,0.2799999999999999,0.251,0.028999999999999915
31838,4r3/q3k1b1/5R2/4B3/8/1KQ5/8/8 w - - 9 31,0.941,0.912,0.028999999999999915
13389,B7/3b2b1/8/8/8/3nBN2/K7/7k w - - 14 50,0.252,0.2809999999999999,0.028999999999999915
13943,8/8/4q3/8/4n3/6r1/k1K1QN2/3R4 w - - 10 35,0.816,0.787,0.028999999999999915
27511,4Q1RK/1r6/5R2/3q4/1r6/8/8/2k5 w - - 9 41,0.93,0.959,0.028999999999999915
43283,3b4/3q2k1/8/8/r7/4Q2R/1K1B4/8 w - - 6 32,0.95,0.921,0.028999999999999915
35948,1r5R/5q2/k7/8/5K2/5Q2/7R/1r6 w - - 8 51,-0.965,-0.936,0.028999999999999915
11336,2b3k1/B7/2N5/2N5/8/5K2/8/2n4n w - - 12 70,0.96,0.931,0.028999999999999915
855,8/rk5B/8/b6R/8/8/r7/4RK2 w - - 12 57,0.431,0.4599999999999999,0.028999999999999915
32058,8/1r4q1/3R2R1/8/1k6/4Q3/8/5r1K w - - 3 43,0.954,0.925,0.028999999999999915
14251,8/R7/8/4B3/3K4/7k/6rb/3B2b1 w - - 12 67,-0.929,-0.958,0.028999999999999915
22911,3b4/B4R2/7k/4b3/8/8/2BK4/r7 w - - 8 40,0.818,0.789,0.028999999999999915
31542,3N1b2/n7/8/1r3k2/3R4/8/8/3K1B2 w - - 9 55,0.963,0.934,0.028999999999999915
887,4N1R1/1n6/7k/n2K4/2N5/5r2/8/8 w - - 10 38,0.568,0.539,0.028999999999999915
48123,q3K1Q1/8/7b/8/8/1R6/1B6/1r2k3 w - - 6 54,-0.944,-0.915,0.028999999999999915
13981,4n2K/6R1/7r/N7/5n2/N2k4/8/8 w - - 11 54,-0.563,-0.534,0.028999999999999915
3042,R7/2N1nq1k/8/8/8/8/Q4r2/6K1 w - - 13 50,0.676,0.705,0.028999999999999915
6812,5q2/1r4b1/1k2K3/8/6Q1/3B2R1/8/8 w - - 13 69,-0.799,-0.828,0.028999999999999915
26611,8/R2N4/6q1/6k1/Q3n3/7r/8/6K1 w - - 0 33,-0.939,-0.91,0.028999999999999915
26843,3R3R/2K2b2/8/6k1/8/2r1r3/8/1B6 w - - 8 52,-0.2019999999999999,-0.173,0.028999999999999915
22599,8/3Q4/q7/3n4/N2r4/8/4K2k/1R6 w - - 2 50,-0.952,-0.923,0.028999999999999915
49798,8/5Q2/3K4/3NR3/1n5k/8/1r1q4/8 w - - 6 47,0.937,0.966,0.028999999999999915
34232,8/4qnN1/8/1N1k4/K7/4n3/8/Q7 w - - 10 46,0.036,0.0649999999999999,0.028999999999999908
48526,2r5/8/5B2/4K3/1nb1N3/8/6R1/3k4 w - - 6 66,0.0819999999999999,0.053,0.028999999999999908
47539,1q6/8/2kb1N2/2n5/3K2B1/8/8/4Q3 w - - 12 41,0.036,0.0649999999999999,0.028999999999999908
39231,1k6/8/6r1/2N5/R5b1/8/1B2n3/6K1 w - - 18 60,0.037,0.0659999999999999,0.028999999999999908
29643,1Nbk4/8/R1B1n3/8/8/6r1/8/6K1 w - - 7 69,-0.052,-0.0809999999999999,0.028999999999999908
45821,4k3/8/8/8/b6R/3N4/2n1K3/r6B w - - 19 65,0.037,0.0659999999999999,0.028999999999999908
36604,8/8/5k2/6n1/2rr4/R7/1R1N4/4K3 w - - 18 60,0.109,0.1379999999999999,0.0289999999999999
1835,1k6/8/2K5/3b3n/8/1bN4B/8/6B1 w - - 7 33,0.1159999999999999,0.087,0.0289999999999999
48951,1r6/8/1R6/k3b3/2K5/4B3/1b6/1B6 w - - 16 61,0.071,0.0999999999999999,0.0289999999999999
16338,8/3Q2B1/N7/8/K7/8/1qb5/k1n5 w - - 8 36,0.1159999999999999,0.087,0.0289999999999999
35083,3b4/6R1/2K5/5B2/8/n7/kr6/4N3 w - - 9 66,0.1329999999999999,0.104,0.0289999999999999
37746,7n/2r5/2k5/1b6/7K/2N5/4R3/6B1 w - - 1 34,-0.005,0.0239999999999999,0.0289999999999999
36343,3K1r2/5bn1/8/8/8/N1R5/2B4k/8 w - - 11 38,0.1389999999999999,0.11,0.0289999999999999
34931,5R2/r4K2/4R3/8/8/b1r5/7B/3k4 w - - 4 34,-0.0999999999999999,-0.071,0.0289999999999999
11905,3b4/8/6R1/5r2/2B3b1/2B3k1/8/7K w - - 12 43,0.0279999999999999,-0.001,0.0289999999999999
35789,6b1/8/2K4R/8/8/3N3B/n1r4k/8 w - - 0 62,0.1169999999999999,0.088,0.0289999999999999
40859,6k1/4q1N1/7K/2b1nQ2/8/8/2B5/8 w - - 10 34,0.0529999999999999,0.024,0.0289999999999999
42077,1K3n2/8/8/5N2/8/2N2n2/R4r2/5k2 w - - 17 63,0.1159999999999999,0.087,0.0289999999999999
26695,8/1q3K2/7N/8/3n3k/2N5/3n4/Q7 w - - 16 52,-0.1399999999999999,-0.111,0.0289999999999999
38996,2br4/8/5k2/2B5/4K3/8/n5N1/7R w - - 12 39,0.009,0.0379999999999999,0.0289999999999999
5158,4RQ2/1B6/K4b2/6k1/8/3r4/5q2/8 w - - 7 39,0.08,0.1089999999999999,0.0289999999999999
37897,2N2k1K/6n1/8/3r4/b7/8/5B2/6R1 w - - 5 32,-0.0079999999999999,0.021,0.0289999999999999
923,5kr1/8/3r3q/8/3K4/Q6R/8/1R6 w - - 20 66,0.0359999999999999,0.007,0.0289999999999999
31113,8/1k1B4/q7/1b6/2K4b/7B/7Q/8 w - - 4 48,0.107,0.1359999999999999,0.0289999999999999
25011,2k3r1/2b2R2/8/1R6/3r4/8/8/4K2B w - - 11 45,0.024,0.0529999999999999,0.0289999999999999
29905,1n5n/6r1/3N3k/8/2R5/2N5/8/6K1 w - - 8 50,0.072,0.1009999999999999,0.0289999999999999
40919,3R4/5K2/2r1B1Q1/1k6/8/5q2/1b6/8 w - - 11 59,0.1169999999999999,0.088,0.0289999999999999
40874,2K4r/1B6/2n5/1k2bR2/8/8/8/4N3 w - - 8 51,-0.0559999999999999,-0.027,0.028999999999999897
47399,1r6/4N1kr/3R4/R7/8/7n/1K6/8 w - - 11 37,0.028,0.0569999999999999,0.028999999999999897
45811,rk2N3/3r3K/8/8/8/2Rn4/8/6R1 w - - 8 52,0.012,0.0409999999999999,0.028999999999999897
29280,6nq/1N6/3KQ3/8/8/2n5/2N2k2/8 w - - 6 36,0.0559999999999999,0.027,0.028999999999999897
38684,1k3B2/5b2/4r2R/8/8/7N/8/1n4K1 w - - 2 69,0.012,0.0409999999999999,0.028999999999999897
33777,2k1N3/4R3/8/r7/1bn4B/8/2K5/8 w - - 12 46,0.028,0.0569999999999999,0.028999999999999897
32697,4nq2/8/4k3/4r3/2R5/6K1/6Q1/N7 w - - 17 62,-0.011,-0.0399999999999999,0.028999999999999897
45912,2r5/5KRN/1k6/8/1N6/8/8/3n3n w - - 10 58,0.011,0.0399999999999999,0.028999999999999897
30577,8/8/k3nb2/5B2/8/7K/3R4/3Nr3 w - - 10 60,0.055,0.0839999999999999,0.028999999999999894
11451,5Q2/8/8/2n3B1/2k3N1/2q5/3K4/6b1 w - - 8 56,-0.056,-0.0849999999999999,0.028999999999999894
4056,8/8/2B1K2n/8/4B3/5N2/1b6/2bk4 w - - 0 60,0.056,0.0849999999999999,0.028999999999999894
40760,1r6/2N5/5B2/1b6/3K1k2/8/6R1/2n5 w - - 9 39,0.0849999999999999,0.056,0.028999999999999894
29667,8/n7/8/6B1/8/b7/5K1B/1b3N1k w - - 0 59,0.0839999999999999,0.055,0.028999999999999894
18152,8/5R1K/bq6/k7/r7/7B/5Q2/8 w - - 9 52,0.192,0.2209999999999999,0.028999999999999887
41614,8/5q2/4b2k/B3R3/4K3/7r/8/1Q6 w - - 5 43,-0.14,-0.1689999999999999,0.028999999999999887
18490,N7/4qb2/8/8/8/n1Q5/5kBK/8 w - - 6 33,0.14,0.1689999999999999,0.028999999999999887
564,1r3r2/7k/8/8/8/Kb2RB2/8/R7 w - - 7 59,0.137,0.1659999999999999,0.028999999999999887
6935,8/2K2k2/8/6R1/2r3N1/8/nB6/1b6 w - - 8 40,0.1679999999999999,0.139,0.028999999999999887
44140,4R3/B7/3b4/8/2k3b1/8/8/KB1r4 w - - 8 40,0.0049999999999999,-0.0239999999999999,0.0289999999999998
38010,1B6/5bq1/2k5/8/8/B7/b7/1K1Q4 w - - 2 62,0.0209999999999999,-0.0079999999999999,0.0289999999999998
18296,k1N5/3K4/8/qr6/8/8/n3Q3/6R1 w - - 18 59,0.1689999999999999,0.197,0.028000000000000108
24715,7q/1n6/7b/3k2B1/8/6QK/N7/8 w - - 11 56,0.1689999999999999,0.197,0.028000000000000108
17660,5K1k/1N6/8/7n/b7/8/B7/5N1n w - - 0 65,0.0839999999999999,0.112,0.028000000000000108
20118,q3k3/8/1Qn4N/4b3/2B5/1K6/8/8 w - - 5 70,0.0679999999999999,0.096,0.028000000000000108
36010,8/8/8/6b1/1K1n4/1rN5/8/RB5k w - - 9 38,0.128,0.0999999999999999,0.028000000000000108
7494,4B1r1/Q2K4/8/R2b4/8/8/4k3/7q w - - 6 39,0.128,0.0999999999999999,0.028000000000000108
15963,3k4/8/8/1N2N3/6K1/2R5/2n5/4n1r1 w - - 4 48,0.194,0.1659999999999999,0.028000000000000108
30684,8/1BR5/K3b3/1R1rr3/8/5k2/8/8 w - - 11 36,0.127,0.0989999999999999,0.028000000000000108
30468,6k1/2R5/6r1/8/B7/4B2K/6b1/7b w - - 8 34,0.0569999999999999,0.085,0.028000000000000108
26604,8/K2B4/8/br4r1/8/5R2/6k1/5R2 w - - 0 50,0.196,0.1679999999999999,0.028000000000000108
49595,8/4K2b/n7/7k/8/4Nr2/1B2R3/8 w - - 7 49,0.127,0.0989999999999999,0.028000000000000108
34790,1bRR4/k7/5r2/8/8/3B2K1/5r2/8 w - - 13 45,0.0419999999999999,0.07,0.028000000000000108
20377,1k6/8/K7/R4N2/1b6/1B6/n7/r7 w - - 7 34,0.194,0.1659999999999999,0.028000000000000108
31163,7R/2R1bB2/2K5/8/8/3rr3/2k5/8 w - - 14 65,0.197,0.1689999999999999,0.028000000000000108
35443,3K4/6Q1/4q3/8/2k5/8/5R2/2n1r1N1 w - - 20 66,0.0699999999999999,0.098,0.028000000000000108
5965,6B1/6n1/8/8/4b2B/3K1b2/N7/k7 w - - 4 70,0.198,0.1699999999999999,0.028000000000000108
15222,8/8/2B2Q2/b7/5B2/5K1b/4q3/3k4 w - - 8 63,0.1619999999999999,0.19,0.028000000000000108
40998,6Bn/Q6N/6k1/8/8/7K/3b4/2q5 w - - 3 61,0.0399999999999999,0.068,0.028000000000000108
3301,5b2/2k5/KR6/3B4/4N3/n7/2r5/8 w - - 0 33,0.1629999999999999,0.191,0.028000000000000108
42052,8/1k2n3/8/5N2/2R2R2/r3r3/2K5/8 w - - 12 63,0.0499999999999999,0.078,0.0280000000000001
32976,6n1/2n4k/8/K7/8/N3N3/4R3/2r5 w - - 12 59,0.0059999999999999,0.034,0.0280000000000001
24927,4b2B/3b4/7K/3N3B/8/8/8/1n3k2 w - - 12 49,0.0029999999999999,0.031,0.0280000000000001
13582,R5K1/8/5r2/6Q1/3q4/4n2k/8/N7 w - - 14 63,-0.033,-0.0049999999999999,0.0280000000000001
48712,2q5/7r/5k2/1n6/8/6K1/4R3/4QN2 w - - 5 62,0.0389999999999999,0.067,0.0280000000000001
46348,2BK4/6r1/7k/8/4B3/5R2/8/b6b w - - 0 41,0.0389999999999999,0.067,0.0280000000000001
39179,8/4b1B1/k7/3B4/8/1K6/7b/3Nn3 w - - 6 51,0.061,0.0329999999999999,0.0280000000000001
40612,1N3k2/4brn1/7B/8/R7/7K/8/8 w - - 0 66,0.0349999999999999,0.063,0.0280000000000001
47240,2k3r1/4RR2/8/8/2r5/8/5N2/1n4K1 w - - 7 68,0.0349999999999999,0.063,0.0280000000000001
28790,5k2/4q3/N3n3/8/1Q1B2K1/8/8/7b w - - 4 30,0.031,0.0029999999999999,0.0280000000000001
45599,6n1/k7/4q3/1b6/1N6/8/1B1K4/1Q6 w - - 5 45,0.0269999999999999,0.055,0.0280000000000001
28870,5k2/8/8/5N2/5b1B/8/7b/n1K4B w - - 1 46,0.0329999999999999,0.061,0.0280000000000001
26057,1k6/8/4n3/4N3/7K/4n1N1/3q4/6Q1 w - - 1 53,-0.0479999999999999,-0.076,0.0280000000000001
29966,r7/4k3/7R/1K5R/6B1/2r5/8/b7 w - - 1 30,0.0119999999999999,0.04,0.0280000000000001
47100,3b2B1/6R1/k7/5r2/8/7R/8/r1K5 w - - 13 56,-0.045,-0.0169999999999999,0.028000000000000098
46012,8/5K2/7b/8/8/q5Q1/1b5B/2k2B2 w - - 3 52,0.037,0.0089999999999999,0.028000000000000098
36307,3K4/3B4/4R3/5k2/8/6nr/8/2N2b2 w - - 1 30,0.0969999999999999,0.125,0.028000000000000094
42055,7R/8/n4N2/6K1/8/1bB5/5rk1/8 w - - 11 58,0.107,0.0789999999999999,0.028000000000000094
20096,k7/7K/1b6/6N1/8/8/3R4/1B2nr2 w - - 10 51,0.11,0.0819999999999999,0.028000000000000094
35568,2K5/R1Rnr3/8/8/N7/8/4k2r/8 w - - 5 33,0.089,0.0609999999999999,0.028000000000000094
48476,1K6/6N1/8/6Q1/2q2B2/8/2k5/1b5n w - - 14 62,0.086,0.0579999999999999,0.028000000000000094
41113,8/1Q4nk/3q4/8/8/2K3b1/B3N3/8 w - - 16 59,0.0659999999999999,0.094,0.028000000000000094
49707,1r6/k7/b2N4/1B5K/8/5R2/8/7n w - - 11 45,0.0799999999999999,0.108,0.028000000000000094
19636,2q5/Q3R3/8/8/8/5k2/3n3r/N1K5 w - - 10 43,0.0439999999999999,0.072,0.028000000000000094
49312,7B/1r6/8/8/8/3b2k1/1b6/5KBR w - - 1 32,-0.0819999999999999,-0.11,0.028000000000000094
