CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
8/N5Q1/qk6/8/2n5/5K2/3r4/6R1 w - - 15 59,18,125,37,56,32,15,30,47
5r2/1k2N3/8/8/6R1/3K2n1/3R4/6r1 w - - 2 44,46,53,55,62,51,30,44,58
6b1/r7/5B2/3r4/2k2K2/5R2/7R/8 w - - 11 49,103,51,75,49,60,60,67,68
1k1qr3/3b2Q1/8/5BR1/8/5K2/8/8 w - - 13 68,56,132,125,145,121,112,172,94
3K4/1n5q/4Q3/5N2/4N3/8/7n/k7 w - - 19 67,149,147,150,168,178,121,166,142
2QNK3/8/4n3/8/8/7q/k2N4/6n1 w - - 3 64,260,418,223,284,205,180,237,230
8/6R1/5N2/8/5N1K/nn6/2r5/5k2 w - - 8 43,86,75,71,74,80,75,74,70
RN6/6q1/8/1n2k3/8/2r2K2/8/Q7 w - - 12 43,-294,-317,-297,-323,-321,-314,-296,-316
5q2/1kb5/8/1K2b3/8/4Q2B/4B3/8 w - - 5 37,3361,3323,31991,3323,3349,31986,31989,31990
1K3b2/8/2k5/2N5/8/2R5/8/B2n1r2 w - - 1 46,-55,-49,-50,-46,-65,-53,-54,-47
k7/8/2r3b1/7q/8/6B1/4R2Q/5K2 w - - 13 60,329,331,316,412,291,349,448,280
8/5n2/7n/1B6/5N2/2b5/K7/3k2N1 w - - 11 46,31997,31997,31997,31997,31997,31997,31997,31997
8/R1N5/6r1/8/1nk5/8/K1b5/B7 w - - 20 66,-2930,-242,-238,-227,-250,-841,-465,-305
5Q2/R7/8/2R5/8/4q2k/4r2r/K7 w - - 8 55,31995,31995,31995,31995,31995,31995,31995,31995
2b5/1n6/5k2/r3N3/5K2/8/B5R1/8 w - - 1 36,49,53,54,41,39,70,135,37
r3k2B/8/8/8/2R4R/8/r7/1K2b3 w - - 4 35,85,100,104,111,104,105,96,111
1q1k2NQ/n7/4n3/8/8/8/3N4/4K3 w - - 6 34,263,299,284,290,295,293,298,316
8/2k5/8/1r1BKR2/7q/6b1/8/3Q4 w - - 4 44,-31993,-31993,-31993,-31993,-31993,-31993,-31993,-31993
8/n7/B7/8/K1N5/b6k/r7/1R6 w - - 9 42,77,78,70,58,51,69,70,73
8/8/3K2RB/5Rbr/8/3kr3/8/8 w - - 14 60,109,101,108,106,110,107,111,95
2q5/8/1B2KBkb/8/4b3/1Q6/8/8 w - - 12 40,-194,-145,-143,-150,-139,-140,-175,-157
3q4/4N1n1/8/4R3/8/k2rQ2K/8/8 w - - 3 60,-227,-232,-220,-226,-224,-217,-239,-226
2K1q3/8/8/8/3N3k/7n/7r/R4Q2 w - - 11 69,-88,-92,-56,-88,-88,-102,-99,-73
n1K5/8/2N5/4N2k/5q2/8/1Q6/5n2 w - - 16 57,159,148,195,197,194,201,207,204
8/2r5/8/6R1/Bk3r2/1b6/7K/R7 w - - 15 58,88,98,91,95,94,97,98,92
8/r1b5/k7/8/1K6/1N5B/1R5n/8 w - - 2 37,88,96,94,78,84,88,92,99
5q1n/RK6/4r3/8/8/8/3Q4/1N3k2 w - - 2 60,318,322,370,406,286,332,214,399
8/8/3B1k2/4n2b/6q1/4QN2/1K6/8 w - - 2 55,224,278,268,230,247,256,250,252
8/1q4Q1/5B2/8/kb3B2/8/3K2b1/8 w - - 8 48,-381,-278,-291,-380,-277,-278,-377,-291
N7/1B3b2/1K6/1q6/3n2Q1/4k3/8/8 w - - 9 59,-357,-367,-347,-345,-347,-359,-361,-343
8/8/2B1N3/8/5K2/7R/2k2b2/n2r4 w - - 17 67,171,169,173,174,176,172,174,170
5n2/8/2k5/R5K1/7Q/2r4N/4q3/8 w - - 7 51,308,766,604,3386,845,585,3110,3122
8/1q5k/8/8/3K1n2/1B6/Q7/5Nb1 w - - 8 61,-208,-205,-185,-221,-253,-176,-191,-229
8/7k/3R4/4K1bB/7r/8/4Q3/6q1 w - - 6 32,31992,31992,31992,31992,31992,31992,31992,31992
4B3/1r5K/2R5/8/8/8/2Qbk1q1/8 w - - 8 40,-188,-222,-178,-185,-285,-249,-181,-177
6k1/8/6r1/Qq6/3n4/8/R4K2/3N4 w - - 6 33,255,249,273,260,258,272,248,247
N2R3Q/k7/4r3/8/5q2/1n6/8/7K w - - 3 32,582,495,623,554,621,471,698,635
1B6/2Q5/4q2K/3b4/2N5/8/6n1/1k6 w - - 13 49,-146,-143,-142,-141,-138,-141,-118,-149
k7/1n6/4R3/8/7N/7B/1r6/b1K5 w - - 12 58,50,47,61,49,55,47,38,49
1K1b4/3B4/7n/8/Q7/3kq3/7N/8 w - - 16 65,222,203,219,209,216,221,86,221
3N4/4r3/3n4/R7/7K/2k5/6r1/7R w - - 6 34,-51,-65,-41,-53,-40,-33,-32,-86
8/8/6br/1KR4r/7k/8/6R1/3B4 w - - 0 54,56,53,52,136,41,51,50,45
2k2r2/Kbn5/8/8/1R6/8/7N/5B2 w - - 5 34,51,54,52,44,43,53,51,47
2N5/8/8/1b4R1/2k5/3n1KB1/8/5r2 w - - 7 38,31,31,35,38,39,34,34,38
6K1/3q4/8/8/6NQ/1b6/4kB2/n7 w - - 5 40,-123,-134,-91,-137,-143,-122,-141,-106
4K3/8/6Q1/q7/5k2/1r6/2R2B2/4b3 w - - 0 33,3041,655,3444,2988,3430,2996,2746,3359
7k/6q1/6b1/2Q5/B7/K5R1/3r4/8 w - - 5 47,307,343,381,375,330,343,357,370
4R3/8/4Q3/3rN3/2K5/8/1k1qn3/8 w - - 0 40,182,182,179,181,183,180,182,182
4n3/1b6/3r4/4B3/7K/8/7R/N2k4 w - - 1 68,34,31,31,38,37,34,38,31
6N1/3b2KB/8/8/7R/4n3/r7/3k4 w - - 9 34,57,58,50,52,54,53,61,44
6KQ/8/8/5n2/1q6/1k2b3/6B1/7N w - - 1 50,-85,-90,-33,-45,-65,-44,-90,-93
6r1/8/5r2/RN1k4/8/4R3/3K1n2/8 w - - 4 33,49,43,50,61,46,55,44,46
5R2/8/3r4/1k2n2b/8/K7/B7/4N3 w - - 9 63,49,53,53,57,55,57,50,58
1Q1RN3/8/K7/8/5q2/6n1/5r2/2k5 w - - 14 70,44,40,35,43,36,43,45,34
5Q2/5B2/b7/k7/4qK2/B2b4/8/8 w - - 7 55,-220,-233,-234,-201,-224,-225,-196,-213
4R3/7B/8/5R2/2rr3b/5K2/8/1k6 w - - 8 41,43,8,8,9,19,4,24,18
5k1b/1K5q/4Q3/3B4/8/n7/8/5N2 w - - 11 58,7,32,27,19,86,67,44,21
7k/3b4/2q5/8/2r5/8/3BQ2K/3R4 w - - 6 58,68,98,89,78,80,92,79,93
4B3/8/8/5b2/K7/1B2Qb2/8/1k3q2 w - - 2 31,11,6,51,16,44,11,11,32
8/1Q6/5N2/3n1q1N/7K/8/8/kn6 w - - 3 45,99,93,91,137,112,88,116,95
4kb2/7n/8/3B4/4K3/8/4N1Q1/q7 w - - 0 68,91,97,78,26,24,45,89,53
7R/r7/8/3n3B/8/7k/2N5/3K2b1 w - - 5 32,43,42,46,41,43,47,42,42
8/1Q6/5k1r/8/2K2r2/8/1R5q/3R4 w - - 5 58,3,0,0,0,0,4,0,0
3B1Q2/6K1/k3b3/8/5R2/8/2q5/6r1 w - - 3 40,-60,-89,-95,-200,-56,-52,-233,-94
6K1/8/3R4/7n/8/7N/1k2b3/r5B1 w - - 13 63,48,42,42,43,47,43,45,39
6n1/4K3/3N1R2/7B/8/b1k5/2r5/8 w - - 10 42,-43,-44,-41,-41,-164,-39,-166,-42
8/Q4K2/8/1B6/8/5q2/Nb6/n2k4 w - - 11 49,-11,-11,-11,-11,-11,-11,-40,-64
4K2k/4B3/B7/8/4q3/8/5b1b/3Q4 w - - 15 53,0,0,0,0,0,0,0,0
4B3/7K/8/4Q3/4N3/8/8/1n2qbk1 w - - 14 70,62,61,63,50,54,80,59,56
2Q5/2B4K/8/3R3b/8/8/1r2qk2/8 w - - 10 48,52,28,44,88,0,38,39,15
1r6/8/3R4/7K/5R2/8/r2N2k1/5n2 w - - 14 48,47,39,40,44,47,42,44,39
1RBR1K2/8/8/8/2k5/5r1r/8/6b1 w - - 2 41,-50,-38,-33,-39,-38,-30,-39,-38
5R2/k3q3/7N/8/3r1Q2/7K/2n5/8 w - - 7 41,33,0,2,1,0,0,20,19
4NK2/3n4/8/4b3/5k2/8/5B1R/3r4 w - - 5 69,-22,-70,-27,-31,-27,-35,-30,-39
5K2/2B5/8/1R6/8/b1Nn4/6k1/4r3 w - - 10 51,-11,-32,-39,-47,-50,-11,-52,-12
3K1B2/4b3/6R1/8/3k4/2q1r3/8/5Q2 w - - 8 45,50,49,43,47,47,47,47,43
k7/7n/8/8/1N6/r7/4BK1b/2R5 w - - 14 56,10,15,40,16,15,29,28,29
4R3/5B2/1k6/1b6/4N3/3r1n2/8/3K4 w - - 4 33,-29,-31,-34,-31,-34,-34,-31,-38
5N2/8/3Q4/5N2/q2K4/8/5n2/3n1k2 w - - 1 34,-137,-146,-115,-132,-136,-137,-130,-127
5Q1K/R7/8/br4q1/3B4/8/8/1k6 w - - 4 55,0,0,0,0,0,0,0,0
4B3/8/8/R1N2r2/8/7n/K1k5/7b w - - 10 64,45,46,44,35,38,42,42,47
2B5/K7/8/5R2/8/7n/3b4/1r1k3N w - - 17 69,44,44,39,42,42,43,43,39
8/8/8/4NRKn/8/R7/3k3r/6r1 w - - 21 67,42,42,40,44,50,35,42,42
R7/6r1/8/8/2k5/BNn1b3/2K5/8 w - - 1 32,44,48,52,47,47,49,46,53
8/8/3b3K/B6R/1r6/7R/8/4rk2 w - - 4 37,35,39,27,32,174,38,34,165
8/3Q1R2/8/2k5/8/8/4RK1q/6rr w - - 5 47,-31995,-31995,-31995,-31995,-31995,-31995,-31995,-31995
8/8/7Q/1q6/8/k5r1/7R/3KN1n1 w - - 0 70,3017,466,3090,3082,2995,3273,3128,839
5k2/8/6Q1/3R4/1q3r1r/5K2/3R4/8 w - - 9 70,-31992,-3889,-31992,-31992,-31992,-31991,-31985,-31992
4k3/8/6q1/6n1/8/1K1r4/8/1RQ2N2 w - - 11 38,-382,-475,-411,-326,-388,-401,-427,-485
8/2K2Q2/8/2q5/4n3/8/B2b3N/2k5 w - - 8 57,-361,-298,-363,-349,-401,-358,-374,-325
7B/3K4/2N5/1b6/3n4/4k3/B7/6b1 w - - 13 68,213,219,207,211,207,214,218,210
5r2/4q3/R7/8/1K3k2/7Q/B4b2/8 w - - 6 34,-370,-580,-422,-318,-592,-470,-290,-549
5k2/8/2q5/8/3K1br1/4R3/1Q6/5B2 w - - 2 59,-208,-274,-276,-206,-232,-243,-164,-184
k6K/8/8/8/1r6/5R2/b3B2n/6N1 w - - 4 31,55,57,65,57,62,53,58,67
1K4B1/7R/8/6N1/1nr5/8/4b3/4k3 w - - 4 48,37,38,30,34,34,38,42,33
k1N3r1/3B1R2/8/1K6/8/3b4/n7/8 w - - 7 69,23,34,44,37,40,41,22,35
8/8/2n2r2/1kbR4/8/K7/5B2/3N4 w - - 2 30,57,55,68,68,66,62,62,67
5N2/2R3Q1/4r3/K7/8/4q3/4n3/4k3 w - - 9 53,184,188,182,173,177,184,192,180
8/6q1/3k1b2/8/4Q3/n4N2/8/1B3K2 w - - 3 36,143,176,153,170,163,177,145,152
8/1nK5/7r/1kn5/R6N/8/1N6/8 w - - 6 36,-139,-103,-128,-144,-156,-172,-137,-99
3b1K2/4rn2/8/1B5k/8/3R4/N7/8 w - - 12 63,160,155,145,158,163,162,160,153
2Q5/3r1q2/8/4k3/1R6/8/1N6/1K3n2 w - - 6 60,281,282,283,263,259,288,248,285
4R3/2N5/2n2k2/2N5/7n/5r2/4K3/8 w - - 8 48,56,57,58,57,47,74,54,69
4RRr1/8/2n5/6r1/K7/3k4/8/1N6 w - - 8 66,42,42,41,39,40,45,46,39
8/3K4/8/1n6/8/5Qq1/3r3k/R3N3 w - - 3 40,-522,-806,-864,-3084,-781,-776,-740,-730
3K4/6kn/3N4/8/R7/B5b1/5r2/8 w - - 0 56,77,79,65,62,68,71,68,73
2r4Q/5bB1/4q3/1k6/6K1/8/5R2/8 w - - 8 61,-224,-191,-226,-226,-209,-192,-218,-218
8/6B1/4K3/1b6/6k1/1B2r3/1R6/b7 w - - 9 31,-159,-163,-162,-158,-155,-164,-165,-161
3K4/r2Q4/k7/6Nq/8/n7/8/6R1 w - - 5 50,592,563,588,615,511,467,517,682
2R5/8/3b4/3b2B1/3k4/5r2/7K/1B6 w - - 6 40,-114,-122,-122,-114,-125,-120,-115,-135
4q3/1K6/4BQ2/8/3N4/2n5/8/2b3k1 w - - 7 35,129,243,192,215,164,113,164,140
3Q4/8/b5q1/8/k7/5K1B/1r6/7R w - - 1 37,283,358,281,47,47,272,42,234
1n6/4B2b/3N3q/8/4Q3/8/3k4/6K1 w - - 4 40,136,109,106,142,86,115,155,164
6k1/2r5/2n5/3K4/8/5B2/b1N2R2/8 w - - 10 34,64,69,72,57,64,75,58,72
n1N2K1B/6Q1/8/1b6/8/8/7k/1q6 w - - 3 36,100,136,120,140,135,125,122,93
2rn4/6q1/6k1/8/8/K7/1R3N1Q/8 w - - 15 53,157,174,169,167,171,167,159,173
4K3/3Q4/2n1N3/k7/2r5/q7/4R3/8 w - - 4 38,46,82,240,88,130,235,245,176
1q6/3Q4/7R/1B6/6K1/8/1b2rk2/8 w - - 4 37,31993,31993,31993,31993,31993,31993,31993,31993
3QB3/7k/8/7K/1r6/7R/5b2/6q1 w - - 8 54,457,470,424,336,447,349,383,412
8/6QR/4K3/8/8/k2b4/5B2/q1r5 w - - 20 65,173,167,165,221,190,167,209,164
2k5/5Q1b/K6q/8/8/1N6/1Bn5/8 w - - 4 32,386,290,327,398,303,282,244,288
K1B5/3b4/1N6/Q7/4k3/2n4q/8/8 w - - 1 36,146,154,156,165,146,156,160,151
5k2/8/1RN2K2/8/6r1/5n2/7b/1B6 w - - 9 47,37,42,39,42,41,38,39,37
5B2/1kr3K1/N3R3/8/8/6n1/8/5b2 w - - 5 70,38,34,42,41,38,38,38,40
8/1Q6/8/2K1N1k1/8/3Nq3/2n5/6n1 w - - 13 70,208,170,228,197,162,170,201,222
1bk5/6n1/2K5/R6N/8/2B5/8/6r1 w - - 4 49,50,56,56,52,53,50,45,54
8/1Rbk4/3r4/8/1B6/5K2/8/5n1N w - - 10 37,30,36,33,34,34,37,33,33
2kb4/1n6/2B5/8/K5q1/8/1Q6/5N2 w - - 18 65,-116,-138,-149,-130,-134,-142,-124,-139
8/4k3/8/2b2q2/2K5/Q2N4/1B6/7n w - - 16 52,279,335,300,299,268,309,314,335
4K3/7R/4RB2/1r2b3/8/8/8/5kr1 w - - 5 59,119,108,108,100,115,107,115,107
5q2/4b3/8/1B1k4/8/4B1Q1/8/3b3K w - - 16 67,0,41,91,32,54,46,0,0
1K6/2b4R/B7/6B1/4r3/8/7b/7k w - - 20 64,15,16,8,13,11,15,17,8
8/Bb6/5Q2/8/4q3/5R2/1K4k1/7r w - - 5 41,0,0,0,0,0,0,0,0
8/7q/5kNn/4b3/8/2K4B/8/6Q1 w - - 5 39,106,104,115,101,109,113,101,135
8/K1nB4/1R4N1/3k4/8/b7/8/7r w - - 15 58,13,22,15,15,15,19,19,15
8/2NB1b2/3K4/8/4Q3/2q4n/8/5k2 w - - 10 43,69,52,45,86,70,70,64,59
5B2/2b3K1/4b3/4k3/1B6/5R2/8/6r1 w - - 10 38,-19,-10,-19,-11,-12,-9,-16,-14
8/1b5k/6R1/7B/r2K4/1r6/8/4R3 w - - 10 60,-56,-47,-44,-39,-40,-47,-48,-40
7q/8/8/5k2/8/R5R1/2rr4/KQ6 w - - 4 33,0,0,0,0,0,0,0,0
2q5/2N5/6n1/8/5n2/3NK3/2Q5/6k1 w - - 11 62,102,118,90,80,92,70,95,89
2Q4B/2b4q/1b6/5K1k/8/8/8/1B6 w - - 2 49,-86,-142,-84,-141,-134,-73,-114,-99
q7/8/4b3/B7/8/7n/1N1Q4/3K2k1 w - - 21 69,79,81,71,70,64,96,76,49
8/B1q1b2k/3r4/8/QK6/8/8/1R6 w - - 7 42,-475,-383,-510,-428,-406,-459,-364,-466
6r1/3B1n1k/8/8/7b/8/4N1R1/5K2 w - - 0 36,61,70,69,65,70,66,59,77
5k2/3R4/6B1/1n2r3/8/8/2N2b2/K7 w - - 10 53,60,66,66,69,60,62,65,73
4b3/1n6/1k6/4QN1q/8/8/1B6/K7 w - - 10 41,104,71,78,80,116,88,93,88
3nN3/8/4k3/3b4/5K2/b3B3/4B3/8 w - - 13 68,51,54,52,53,54,54,50,57
k7/n4R2/3N4/n7/7r/3N4/8/2K5 w - - 6 44,54,60,63,74,65,73,54,66
1n6/3r4/8/2N4R/5R2/8/2r5/4k2K w - - 10 40,47,47,50,47,46,39,46,44
5B2/8/2Kn1R2/r6k/8/8/3N3b/8 w - - 11 37,70,65,78,64,53,61,62,67
8/2B1R3/4Nr2/8/4nb2/2k5/8/2K5 w - - 4 51,61,60,59,65,62,60,57,59
b7/8/2R5/2B3q1/K3Q3/3r4/2k5/8 w - - 2 37,828,359,359,356,729,347,3094,847
8/N7/1K4r1/1Q6/8/5n2/1R4q1/2k5 w - - 4 34,-179,-165,-169,-174,-175,-170,-179,-165
3Q4/5k2/8/2K1r2q/2N5/2n5/3R4/8 w - - 8 34,275,279,296,254,270,283,285,288
8/6N1/nN5n/8/6RK/8/8/3k3r w - - 6 43,-163,-167,-158,-167,-167,-163,-167,-156
3kn3/8/3N2RQ/8/r2q4/1K6/8/8 w - - 9 57,41,46,46,46,45,46,42,45
8/8/8/3R3K/4r3/2RQ4/5k2/4r2q w - - 4 54,-157,-89,-162,-74,-157,-137,-177,-70
1K6/8/4R3/8/1b1N3r/k7/7n/B7 w - - 21 66,93,84,81,88,88,87,88,78
8/7R/8/8/5rB1/r6K/2R4b/6k1 w - - 8 69,-105,-98,-85,-118,-121,-104,-103,-91
B7/3b3q/8/Q2K4/8/7b/5B1k/8 w - - 16 58,121,92,122,105,113,133,122,111
r4q2/8/2k5/1n6/8/2N5/RK1Q4/8 w - - 9 45,514,779,349,584,653,596,614,2908
qk5n/8/4Q3/8/8/8/3N1N2/5K1n w - - 11 43,184,209,205,167,200,198,175,181
2n4b/5Q2/8/3N4/6K1/8/3qk3/7B w - - 8 31,254,202,173,225,224,220,201,207
1N6/5r2/1k2r3/7n/1K6/8/R7/R7 w - - 1 48,46,57,56,53,62,50,42,48
4n3/8/R7/5N2/7r/1B5k/1b1K4/8 w - - 0 39,38,41,46,38,39,39,36,39
8/1r6/8/8/4R2B/8/4bK2/n2k2N1 w - - 7 35,82,73,70,75,73,65,75,75
4B3/b4r2/5q1k/8/6Q1/3R4/8/6K1 w - - 7 46,-3084,-3122,-3106,-3099,-3008,-3095,-3020,-3114
5R2/8/2R1K3/7k/2Q5/8/2r5/2r1q3 w - - 1 53,-533,-565,-570,-600,-574,-695,-549,-588
r7/2K5/8/2QR4/2B2k2/5qb1/8/8 w - - 10 41,163,47,179,149,161,186,282,160
8/6r1/K7/8/2knn3/7N/N7/5R2 w - - 3 66,-67,-76,-51,-72,-49,-62,-67,-52
8/1q1r1N2/5K2/8/1n5R/k7/8/4Q3 w - - 22 69,52,72,64,45,17,44,58,32
1R6/8/5b1R/7B/8/3K1r2/5r2/4k3 w - - 2 57,31,34,34,35,38,34,39,30
3N4/8/8/k5n1/2R3B1/8/5r2/2K3b1 w - - 1 44,31,27,30,0,38,28,31,36
b1n5/2k5/5Q2/8/8/4B1K1/5N2/1q6 w - - 0 32,68,50,96,172,135,79,118,80
3r4/3n4/3K4/6R1/1N6/8/3k4/N6n w - - 20 70,50,66,39,39,49,44,49,47
3K3k/8/3r4/6B1/3bR3/8/8/1B4b1 w - - 13 70,21,20,21,6,8,24,13,19
1R6/5nk1/5q2/1Q6/1K4N1/8/8/5r2 w - - 0 41,20,26,27,19,22,31,20,23
8/7r/3r4/3K4/1k6/2R1R3/3B3b/8 w - - 8 45,-50,-50,-75,-49,-51,-54,-51,-52
R6N/1K6/2br1n2/8/4k3/8/8/4B3 w - - 15 56,-41,-35,-28,-36,-38,-50,-45,-14
B7/1K1R4/8/8/1b4r1/6k1/Q7/7q w - - 18 70,54,70,68,65,69,52,76,101
8/B2n1q2/8/3Kb3/5k2/8/8/1Q4N1 w - - 18 67,-80,-30,-55,-78,-38,-19,-57,-34
8/8/7B/1K3B2/8/7N/k4b1b/7n w - - 10 48,41,38,34,39,38,45,42,38
3R1Q2/7r/2K4n/5N2/q7/8/8/k7 w - - 10 36,-43,-71,-56,-73,-61,-58,-80,-35
6q1/6b1/7K/8/5Q2/2k5/2b3BB/8 w - - 1 54,-71,-75,-103,-71,-92,-52,-54,-120
8/q2B3Q/8/2b2R2/2r5/8/6K1/3k4 w - - 9 37,52,75,47,53,72,6,51,39
5q2/8/3k1n2/8/7N/b1B5/2Q5/5K2 w - - 10 53,103,116,117,142,137,132,108,122
8/NQKB4/2b5/8/4k2n/2q5/8/8 w - - 11 39,115,121,103,112,102,130,127,106
8/2R5/R2K3b/8/B7/6r1/1k5r/8 w - - 10 33,0,3,0,0,5,12,3,3
8/8/7N/K1Q5/5k2/5nq1/7n/1N6 w - - 3 42,134,122,131,124,103,147,113,135
8/2R5/1K1k4/8/R7/2N5/1n5r/7r w - - 6 60,53,72,86,47,59,63,67,74
4K1q1/2QN4/8/8/k4N2/8/8/4n2n w - - 7 56,125,117,135,133,144,118,131,109
8/3B4/4r3/1K6/1N3n2/2Rb1k2/8/8 w - - 1 54,50,50,49,52,47,50,50,47
8/1K3B2/R5B1/5b2/8/7b/1k5r/8 w - - 13 49,178,171,168,171,172,176,177,172
8/6KR/n1q5/8/5N2/8/r3Q3/1k6 w - - 15 61,315,298,323,354,342,315,330,311
8/2n5/8/3n4/1r6/8/RKNN4/7k w - - 4 66,40,41,41,34,36,41,41,38
8/3nB3/6N1/2Q5/2q3k1/8/b7/4K3 w - - 1 42,144,152,108,145,118,139,140,169
8/7q/Q1B5/3K4/1b6/Nn6/8/7k w - - 1 67,106,205,92,154,189,204,105,96
8/8/8/4r3/R3n2k/8/6B1/4K1bN w - - 14 53,51,52,58,57,52,54,48,58
5R2/8/8/3R4/N2K4/n1r4r/8/6k1 w - - 6 60,49,50,51,50,50,51,52,51
1n6/8/8/2k2b2/8/8/3K2R1/r2N3B w - - 12 45,55,65,70,63,62,65,58,68
8/K5r1/N1k5/2B5/8/8/4b1nR/8 w - - 6 31,-50,-54,-49,-50,-49,-50,-53,-49
1n6/6r1/8/q3K2k/3Q4/8/5R2/1N6 w - - 3 35,-219,-235,-218,-153,-232,-167,-198,-203
8/1n1R4/8/1r6/2N2K2/3N3k/4n3/8 w - - 9 30,52,54,50,51,52,51,58,52
5R2/6K1/8/8/Q4B1r/8/b4q2/6k1 w - - 6 47,38,40,33,33,32,43,41,37
5B2/2q5/5RQ1/1r6/5bK1/4k3/8/8 w - - 5 32,73,144,81,78,84,81,80,86
k1BK4/3N4/3b4/8/8/5R2/8/rn6 w - - 2 48,49,13,51,41,47,38,44,44
b1K5/1n6/8/8/N7/2R4B/1r6/k7 w - - 5 50,67,65,54,89,85,75,63,62
1nQ5/5N2/5bB1/8/8/8/5k1q/2K5 w - - 6 56,15,108,149,23,19,39,80,15
r7/n1b4K/1R6/B7/8/8/5k2/4N3 w - - 4 30,63,51,54,66,66,58,58,51
7Q/8/6N1/2K2B2/8/k7/3n1b2/3q4 w - - 6 64,-134,-154,-124,-109,-96,-126,-97,-122
1b1r1b2/3k4/8/8/2K4B/8/4R3/7B w - - 2 60,31,31,31,34,31,31,31,31
8/8/5N2/8/8/5k2/2RQr1q1/1K3n2 w - - 17 62,388,423,247,406,313,343,350,373
Q7/5nr1/2R5/8/K2q4/N7/8/3k4 w - - 10 59,290,195,251,263,239,181,309,284
RK6/8/3r4/2N4b/8/2n2k2/8/2B5 w - - 0 31,61,66,55,54,53,62,68,55
8/3K1Bb1/8/8/k7/1rn5/N7/R7 w - - 7 33,80,83,76,68,81,81,83,68
6k1/1R2R3/3K4/1Q6/8/2q5/1r1r4/8 w - - 7 34,-1039,-1015,-3054,-3122,-2839,-465,-3084,-975
1q6/8/7r/4n2k/8/Q1R5/8/K4N2 w - - 3 40,318,309,297,309,295,317,280,345
4Q3/2N4R/1K6/8/8/7n/5k1q/3r4 w - - 16 60,174,175,168,168,174,178,177,163
3N3n/8/8/8/4RBr1/8/kbK5/8 w - - 12 46,50,38,38,35,39,51,40,38
1r1n1r2/3k4/8/8/2R4N/2R4K/8/8 w - - 11 48,92,140,108,125,103,118,123,94
5k2/8/8/n2r4/4N1R1/8/2Kb4/6B1 w - - 3 50,68,77,72,72,78,70,73,78
8/1R2K3/3q3r/N7/8/2Q5/1n6/k7 w - - 9 49,0,0,0,0,0,0,0,0
4B3/3RK3/r7/k4b2/8/b7/8/3B4 w - - 6 31,-28,-24,-27,-27,-27,-27,-31,-27
8/1B2r3/8/2k5/6b1/8/8/BR1K2b1 w - - 8 40,-44,-50,-47,-50,-47,-47,-43,-47
8/6N1/7Q/8/3k4/2nq4/6B1/3b2K1 w - - 1 41,32,24,35,43,78,66,83,59
1b1N4/8/2R4B/2r5/8/1k1n1K2/8/8 w - - 0 51,44,47,46,51,47,45,50,49
3N4/2n1rQ2/8/8/1q6/5R2/7K/k7 w - - 7 34,47,47,36,50,44,45,58,46
8/4b1Kr/8/k7/8/3q4/6BR/7Q w - - 7 44,92,0,0,0,0,0,8,0
r7/8/n2n4/k7/3N2K1/8/3R3N/8 w - - 13 58,46,42,50,53,49,40,49,47
1bk5/8/6B1/2qn3N/8/8/K7/7Q w - - 13 49,-79,-78,-76,-91,-74,-103,-76,-99
7q/2N2n2/2Q5/8/8/8/k7/1b3K1B w - - 8 40,67,44,45,66,28,24,49,65
6nr/R5R1/1k2N3/1r6/8/1K6/8/8 w - - 12 57,32,0,0,0,0,0,0,3
5k2/8/Bqr5/2b5/7R/8/Q4K2/8 w - - 8 47,-44,-15,-51,-45,-27,-11,-42,-50
4r3/8/3K1R2/8/3k2B1/8/8/1R4br w - - 4 46,54,57,47,47,56,29,27,42
5n2/7q/7b/2B5/8/7N/7Q/2k4K w - - 13 62,114,95,85,98,85,81,114,88
6Q1/6b1/4K1q1/8/B3b3/B5k1/8/8 w - - 0 36,-68,-79,-54,-90,-95,-65,-56,-21
2N5/3n4/8/1k6/4R2K/7Q/1q6/3r4 w - - 4 45,-30,-44,-41,-16,-52,-45,-60,-60
2Q5/2R5/6qr/8/8/8/6Kb/k5B1 w - - 5 67,-718,-401,-451,-427,-699,-2906,-820,-440
1nk5/2N5/6n1/N7/4r3/2R5/8/1K6 w - - 5 32,158,174,169,163,163,179,161,169
4Q3/B2N4/n7/1k6/3K4/8/8/1b1q4 w - - 4 55,-452,-475,-488,-454,-458,-453,-446,-475
2R2K2/1BR5/8/8/8/5r2/k7/1r5b w - - 7 30,240,248,231,239,237,231,240,916
8/1k5q/8/1B3n2/5N2/3K4/1Q6/3b4 w - - 5 56,360,368,378,355,364,354,331,76
6K1/6b1/1N3kn1/8/8/2RB4/7r/8 w - - 2 50,86,70,70,83,69,77,70,63
8/8/B2R4/8/1B3r2/K4k2/8/b6b w - - 5 44,72,70,74,62,62,70,76,79
